"player","team","pos","actual","xgb_pred","residual"
"alexis prince","PHO","F",3975,8387.2724609375,4412.2724609375
"isabelle harrison","NYL","F",78831,82468.4140625,3637.4140625
"robyn parks","CON","F",11106,14495.7548828125,3389.7548828125
"kennedy burke","NYL","G-F",78831,81815.8984375,2984.8984375
"nyara sabally","NYL","C",79999,82960.3359375,2961.3359375
"mackenzie holmes","SEA","F",48865,51798.34375,2933.34375
"kia nurse","CHI","G",145000,147849.140625,2849.140625
"bree hall","GSV","G",47755,50513.7890625,2758.7890625
"rayah marshall","CON","C-F",69267,71769.859375,2502.859375
"angel reese","CHI","F",74909,76938.6171875,2029.6171875
"aneesah morrow","CON","F",75643,77394.125,1751.125
"sevgi uzun","PHO","G",11106,12796.8291015625,1690.8291015625
"maya caldwell","ATL","G",66079,67742.4765625,1663.4765625
"erica wheeler","SEA","G",78831,80483.0859375,1652.0859375
"a'ja wilson","LVA","C",2e+05,201325.203125,1325.203125
"natasha cloud","NYL","G",2e+05,200993,993
"temi fagbenle","GSV","C",90000,90817.5,817.5
"nia coffey","ATL","F",150000,150809.640625,809.640625
"olivia nelson-ododa","CON","C",80823,81554.4921875,731.4921875
"julie vanloo","LAS","G",66079,66722.5546875,643.5546875
"dewanna bonner","PHO","G-F",72269,72888.5234375,619.5234375
"sydney colson","IND","G",90000,90595.8203125,595.8203125
"moriah jefferson","CHI","G",145500,145978.53125,478.53125
"ezi magbegor","SEA","F-C",186000,186461.59375,461.59375
"li yueru","DAL","C",66079,66497.015625,418.015625
"brianna turner","IND","F-C",85000,85311.140625,311.140625
"kamilla cardoso","CHI","C",78066,78214.4375,148.4375
"kyara linskens","GSV","C",14437,14495.7548828125,58.7548828125
"luisa geiselsoder","DAL","C",66079,66046.65625,-32.34375
"saniya rivers","CON","G",75643,75604.40625,-38.59375
"caitlin clark","IND","G",78066,78007.9765625,-58.0234375
"teaira mccowan","DAL","C",201400,201325.203125,-74.796875
"shey peddy","LAS","G",44715,44401.953125,-313.046875
"rebecca allen","CHI","F-G",160000,159570.28125,-429.71875
"chelsea gray","LVA","G",196267,195800.5,-466.5
"te-hina paopao","ATL","G",69267,68727.6171875,-539.3828125
"kaila charles","DAL","G-F",43225,42597.890625,-627.109375
"carla leite","GSV","G",72455,71777.3671875,-677.6328125
"taylor thierry","ATL","G-F",66079,64897.890625,-1181.109375
"leila lacan","CON","G",72455,71250.890625,-1204.109375
"sonia citron","WAS","G",78831,77394.125,-1436.875
"maddy westbeld","CHI","F",69267,67667.5078125,-1599.4921875
"jessica shepard","MIN","F",78831,77227.359375,-1603.640625
"shatori walker-kimbrough","ATL","G",150000,148296.71875,-1703.28125
"kathryn westbeld","PHO","F",66079,64338.04296875,-1740.95703125
"emma cannon","LAS","F",78831,77023.6015625,-1807.3984375
"mercedes russell","LAS","C",160000,158081.921875,-1918.078125
"zia cooke","SEA","G",66079,64142.3984375,-1936.6015625
"aaliyah nye","LVA","G-F",69267,67234.2421875,-2032.7578125
"maria kliundikova","MIN","F",54418,52363.3828125,-2054.6171875
"nneka ogwumike","SEA","F",195000,192937.953125,-2062.046875
"crystal bradford","LVA","F",16103,13986.86328125,-2116.13671875
"kelsey plum","LAS","G",202000,199576.265625,-2423.734375
"kiki iriafen","WAS","F",78831,76311.1953125,-2519.8046875
"veronica burton","GSV","G",78831,76289.484375,-2541.515625
"dearica hamby","LAS","F",202000,199220.65625,-2779.34375
"lexie hull","IND","G",88261,85415.25,-2845.75
"jj quinerly","DAL","G",66079,63205.91015625,-2873.08984375
"liatu king","DAL","F",47894,44773.24609375,-3120.75390625
"myisha hines-allen","DAL","F",203000,199721.578125,-3278.421875
"julie allemand","LAS","G",85000,81660.2578125,-3339.7421875
"marieme badiane","MIN","C",12216,8758.5205078125,-3457.4794921875
"elizabeth kitley","LVA","C",69267,65729.109375,-3537.890625
"sania feagin","LAS","F",69267,65729.109375,-3537.890625
"naz hillmon","ATL","F",80823,76888.7265625,-3934.2734375
"napheesa collier","MIN","F",214284,210278.28125,-4005.71875
"rachel banham","CHI","G",95000,90651.9765625,-4348.0234375
"alissa pili","MIN","F",74909,70334.125,-4574.875
"brionna jones","ATL","F",214466,209821.65625,-4644.34375
"azura stevens","LAS","F-C",195000,190314.640625,-4685.359375
"kierstan bell","LVA","F",84543,79814.1171875,-4728.8828125
"rickea jackson","LAS","F",78066,73247.3671875,-4818.6328125
"allisha gray","ATL","G",190000,184902.28125,-5097.71875
"paige bueckers","DAL","G",78831,73726.8359375,-5104.1640625
"megan mcconnell","PHO","G",56084,50906.328125,-5177.671875
"kayla mcbride","MIN","G",205000,199756.390625,-5243.609375
"natasha mack","PHO","F",66079,60834.02734375,-5244.97265625
"aliyah boston","IND","F-C",83371,78007.9765625,-5363.0234375
"dominique malonga","SEA","C",78831,73161.390625,-5669.609375
"lexie brown","SEA","G",96408,90595.8203125,-5812.1796875
"alanna smith","MIN","F",150000,144182.5625,-5817.4375
"jordin canada","ATL","G",190000,184138.515625,-5861.484375
"kitija laksa","PHO","F",80000,73897.1953125,-6102.8046875
"jackie young","LVA","G",169950,163799.46875,-6150.53125
"aziaha james","DAL","G",72455,66291.6328125,-6163.3671875
"lexi held","PHO","G",66079,59406.84765625,-6672.15234375
"murjanatu musa","PHO","C",66079,59383.296875,-6695.703125
"hailey van lith","CHI","G",72455,65729.109375,-6725.890625
"sarah ashlee barker","LAS","G",72455,65729.109375,-6725.890625
