"player","team","pos","actual","xgb_pred","residual"
"hailey lith","CHI","G","$72,455","$65,729","-$6,725.89"
"sarah barker","LAS","G","$72,455","$65,729","-$6,725.89"
"bridget carleton","MIN","F","$125,000","$118,095","-$6,905.33"
"dijonai carrington","DAL","G-F","$200,000","$192,663","-$7,337.28"
"maddy siegrist","DAL","F","$83,371","$75,883","-$7,488.22"
"michaela onyenwere","CHI","F","$125,000","$117,489","-$7,511.25"
"kiana williams","PHO","G","$66,079","$58,204","-$7,874.79"
"dana evans","LVA","G","$89,000","$80,706","-$8,293.76"
"kalani brown","PHO","C","$128,750","$118,351","-$10,398.65"
"alyssa thomas","PHO","F","$215,000","$204,424","-$10,575.73"
"diamond miller","MIN","F","$83,371","$72,595","-$10,776.12"
"elizabeth williams","CHI","C-F","$100,000","$88,760","-$11,239.58"
"satou sabally","PHO","F","$215,000","$203,521","-$11,479.00"
"tiffany mitchell","SEA","G","$101,123","$89,410","-$11,712.84"
"joyner holmes","LVA","F","$61,607","$48,877","-$12,729.76"
"rhyne howard","ATL","G","$91,981","$78,369","-$13,612.16"
"odyssey sims","LAS","G","$130,000","$116,369","-$13,631.38"
"nalyssa smith","LVA","F","$91,981","$77,755","-$14,226.19"
"natisha hiedeman","MIN","G","$135,000","$120,712","-$14,288.45"
"alysha clark","SEA","F","$185,000","$169,831","-$15,168.98"
"brittney griner","ATL","C","$214,466","$199,013","-$15,452.64"
"tyasha harris","DAL","G","$100,013","$84,378","-$15,634.73"
"megan gustafson","LVA","C","$96,820","$80,237","-$16,583.12"
"kiah stokes","LVA","C","$103,000","$86,292","-$16,708.09"
"kelsey mitchell","IND","G","$249,244","$231,525","-$17,719.22"
"arike ogunbowale","DAL","G","$249,032","$230,599","-$18,432.72"
"skylar diggins","SEA","G","$214,466","$193,553","-$20,912.98"
"rae burrell","LAS","G-F","$125,000","$103,095","-$21,904.98"
"gabby williams","SEA","F","$225,000","$202,694","-$22,306.34"
"sami whitcomb","PHO","G","$125,000","$99,933","-$25,067.41"
"jewell loyd","LVA","G","$249,032","$221,901","-$27,130.53"
"karlie samuelson","MIN","G","$118,450","$90,596","-$27,854.18"
"kahleah copper","PHO","G-F","$248,134","$202,575","-$45,558.97"
