,player,team,pos,g,mp,per,ts_percent,e_fg_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,o_rtg,d_rtg,ows,dws,ws,ws_40,year
572,Shey Peddy,LAS,G,6,138,10.3,0.563,0.521,0.542,0.25,5.4,8,17.8,0.7,0,13.1,10,123,115,0.3,-0.1,0.3,0.075,2025
573,Sika Koné,CHI,F,20,186,12.9,0.616,0.553,0.128,0.553,13.6,18.7,8.5,0.8,0.4,26.4,19.1,103,106,0.2,0.2,0.4,0.083,2023
574,Sika Koné,WAS,F,27,217,15.7,0.536,0.452,0.083,0.429,7.7,15.1,10.1,1.4,0.9,12.3,23.9,104,102,0.3,0.3,0.7,0.12,2024
575,Sika Koné,WAS,F,11,74,7.9,0.524,0.417,0.167,0.5,4.8,14.3,11.4,0,0,21.5,17,95,105,0,0.1,0.1,0.043,2025
576,Skylar Diggins,PHO,G,30,1019,21.1,0.532,0.47,0.278,0.33,3.2,7,32.4,2.4,2.5,12.6,28.6,106,107,2.3,0.8,3.1,0.121,2022
577,Skylar Diggins,SEA,G,40,1262,18.6,0.525,0.466,0.263,0.294,2.5,4.7,34,2.7,2.5,16,23.9,105,100,2.2,2.1,4.3,0.138,2024
578,Skylar Diggins,SEA,G,23,749,19.3,0.55,0.487,0.287,0.413,1.7,4.2,30.8,1.7,2,13.5,25.9,108,105,1.9,0.9,2.7,0.145,2025
579,Sonia Citron,WAS,G,22,737,14.8,0.587,0.526,0.416,0.325,2.7,8.7,11.2,1.6,0.9,14,18.7,109,103,1.3,1,2.3,0.125,2025
580,Sophie Cunningham,PHO,G,28,827,15.3,0.611,0.581,0.655,0.18,2.7,8.8,9.7,1.7,1.1,9.1,17.6,114,107,1.9,0.6,2.5,0.12,2022
581,Sophie Cunningham,PHO,G,31,898,12.1,0.575,0.52,0.639,0.297,2.4,6.1,12.4,1.2,1,13.1,18.2,107,113,1.4,-0.1,1.3,0.057,2023
582,Sophie Cunningham,PHO,G,40,1109,12.7,0.618,0.571,0.75,0.288,1.7,8.2,11.3,1.9,0.8,12.3,12.8,116,109,2.2,0.5,2.7,0.097,2024
583,Sophie Cunningham,IND,G,18,415,10.7,0.583,0.537,0.66,0.277,3.5,10.6,5.7,2.1,0.4,17.3,13.8,105,102,0.4,0.6,1,0.096,2025
584,Sparkle Taylor,CHI,G,2,25,14,0.854,0.833,0.167,0.167,0,4.8,0,0,0,13.4,13.5,132,109,0.1,0,0.1,0.129,2022
585,Stefanie Dolson,NYL,C,36,826,13.1,0.586,0.55,0.288,0.183,6.2,12,13.9,0.9,2.9,18.5,16.9,105,104,1,0.9,2,0.095,2022
586,Stefanie Dolson,NYL,C,23,273,11.1,0.627,0.603,0.382,0.206,5.7,9.4,14.8,0.2,1.8,22.1,15.5,109,105,0.4,0.3,0.7,0.108,2023
587,Stefanie Dolson,WAS,C,39,1013,13.6,0.621,0.604,0.554,0.15,3.8,11.4,17.1,1,1.7,18.6,16.4,108,104,1.6,1.1,2.7,0.106,2024
588,Stefanie Dolson,WAS,C,22,356,4.2,0.398,0.377,0.558,0.065,3,8.9,14.9,1,1.9,19.3,12.4,83,104,-0.4,0.5,0,0.003,2025
589,Stephanie Jones,CON,F,5,27,11.1,0.507,0.438,0.25,0.25,4.3,4.4,11.2,1.9,0,0,15,119,102,0.1,0,0.1,0.158,2022
590,Stephanie Soares,DAL,C,22,175,5.7,0.344,0.324,0.353,0.059,12,16,7.9,0.6,3.9,25.6,11.5,80,114,-0.3,-0.1,-0.3,-0.072,2024
591,Stephanie Talbot,SEA,F,34,548,13.1,0.576,0.569,0.529,0.174,4.7,11.2,12.8,2.2,1.7,19.5,15.3,101,99,0.4,1.1,1.4,0.104,2022
592,Stephanie Talbot,LAS,F,37,600,10.1,0.479,0.448,0.403,0.234,4.2,10.1,20.5,1.6,2.4,21.3,12.9,95,108,0,0.4,0.4,0.025,2024
593,Stephanie Talbot,GSV,F,16,268,8.7,0.437,0.407,0.542,0.237,5.9,11.2,20,1.7,0.4,22.6,14.1,91,102,-0.1,0.4,0.3,0.042,2025
594,Sue Bird*,SEA,G,31,818,15,0.555,0.536,0.682,0.076,0.8,4.1,34.8,2.4,0.4,21.6,15.5,108,103,1.3,1.1,2.5,0.12,2022
595,Sug Sutton,PHO,G,40,1051,9.6,0.466,0.431,0.272,0.174,1.7,6,30.8,1.3,0.2,21.9,20.1,90,113,-1,-0.1,-1,-0.04,2023
596,Sug Sutton,WAS,G,29,379,5.4,0.395,0.367,0.519,0.165,1.9,4.3,24.8,2.2,0.2,28.6,14.4,80,111,-0.7,0.1,-0.6,-0.064,2024
597,Sug Sutton,WAS,G,21,522,12.1,0.578,0.558,0.455,0.231,0.9,3.7,21.8,2.2,0.6,19.4,14.2,105,105,0.5,0.6,1.1,0.088,2025
