"player","team.x","pos.x","g.x","mp.x","per","ts_percent","e_fg_percent","x3p_ar","f_tr","orb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","o_rtg","d_rtg","ows","dws","ws","ws_40","year.x","Team","Year","Salary","Protection Status","salary_clean","team.y","pos.y","g.y","mp.y","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","trb","ast","stl","blk","tov","pts","year.y","predicted_salary","residual","undervalued","overvalued","top_paid","label_type","label_player"
"alyssa thomas","PHO","F","17","528",24.6,".553",".517",".010",".350","5.7","13.5","56.6","2.3","1.5","19.8","24.8","113","99","1.9","1.1","2.9",".223",2025,"Phoenix Mercury",2025,"$215,000 ","Protected Veteran",215000,"PHO","F","17","528","6.2","11.9",".517","0.0","0.1",".000","6.2","11.8",".522","2.9","4.2",".690","1.6","7.3","9.5","1.4","0.5","3.4","15.2",2025,157959.184968357,57040.8150316435,FALSE,FALSE,FALSE,NA,NA
"anastasiia kosu","MIN","F","11","26",20.1,".512",".417",".083",".500","18.3","9.0","6.6","2.0","7.0","17.0","31.1","99","100","0.0","0.0","0.1",".102",2025,"Minnesota Lynx",2025,"$69,267 ","Unprotected",69267,"MIN","F","11","26","0.5","1.1",".417","0.0","0.1",".000","0.5","1.0",".455","0.5","0.5",".833","0.4","0.4","0.1","0.1","0.2","0.3","1.4",2025,139530.6558228,-70263.6558228003,TRUE,FALSE,FALSE,"Undervalued","Anastasiia Kosu"
"aneesah morrow","CON","F","19","291",15.4,".469",".409",".238",".341","10.5","18.4","7.8","2.3","2.3","12.7","26.2","93","109","-0.2","0.1","0.0","-0.004",2025,"Connecticut Suns",2025,"$75,643 ","Unprotected",75643,"CON","F","19","291","2.5","6.6",".381","0.4","1.6",".233","2.2","5.1",".427","1.7","2.3",".767","1.4","4.8","0.6","0.7","0.4","1.1","7.2",2025,120283.080937442,-44640.0809374417,TRUE,FALSE,FALSE,"Undervalued","Aneesah Morrow"
"angel reese","CHI","F","21","666",19,".526",".455",".082",".446","13.6","22.6","21.3","2.4","1.7","22.3","23.6","100","104","0.5","0.9","1.4",".082",2025,"Chicago Sky",2025,"$74,909 ","Unprotected",74909,"CHI","F","21","666","5.0","11.1",".446","0.2","0.9",".211","4.8","10.2",".467","3.9","5.0",".779","3.8","12.6","3.8","1.5","0.6","3.8","14.0",2025,135025.904253887,-60116.9042538866,TRUE,FALSE,FALSE,"Undervalued","Angel Reese"
"ariel atkins","CHI","G","21","624",16.4,".539",".483",".329",".292","2.6","6.0","21.6","3.2","2.8","16.1","22.7","103","108","0.8","0.4","1.2",".077",2025,"Chicago Sky",2025,"$200,000 ","Protected Veteran",2e+05,"CHI","G","21","624","4.9","11.4",".425","1.3","3.8",".354","3.5","7.7",".460","2.9","3.3",".857","0.7","3.1","3.5","1.9","0.9","2.5","13.9",2025,124378.309636454,75621.6903635459,FALSE,FALSE,FALSE,NA,NA
"arike ogunbowale","DAL","G","20","676",12.5,".475",".407",".400",".264","1.0","4.3","20.2","2.2","0.8","12.3","23.8","99","113","0.4","0.0","0.4",".024",2025,"Dallas Wings",2025,"$249,032 ","Protected Veteran",249032,"DAL","G","20","676","5.1","14.8",".346","1.8","5.9",".305","3.3","8.9",".373","3.7","3.9",".936","0.3","2.6","4.0","1.5","0.3","2.3","15.7",2025,108406.917710305,140625.082289695,FALSE,TRUE,TRUE,"Top Paid","Arike Ogunbowale"
"aziaha james","DAL","G","19","382",14,".498",".444",".408",".268","4.3","8.1","17.5","1.9","1.2","12.7","20.4","104","112","0.4","0.0","0.5",".051",2025,"Dallas Wings",2025,"$72,455 ","Unprotected",72455,"DAL","G","19","382","2.8","7.5",".373","1.1","3.1",".345","1.7","4.4",".393","1.7","2.0",".842","0.8","2.8","2.1","0.7","0.3","1.2","8.3",2025,114549.760758824,-42094.7607588242,TRUE,FALSE,FALSE,"Undervalued","Aziaha James"
"azura stevens","LAS","F-C","22","639",23.3,".619",".588",".414",".284","8.9","18.3","12.2","2.6","4.2","12.4","21.0","117","104","2.1","0.9","2.9",".182",2025,"Los Angeles Sparks",2025,"$195,000 ","Protected Veteran",195000,"LAS","F-C","22","639","5.3","10.5",".504","1.8","4.4",".406","3.5","6.2",".574","2.3","3.0",".758","2.1","8.7","1.9","1.5","1.3","1.7","14.7",2025,152635.38765964,42364.6123403597,FALSE,FALSE,FALSE,NA,NA
"breanna stewart","NYL","F","21","685",24.1,".571",".497",".209",".465","3.5","11.9","22.0","2.1","4.0","11.0","27.0","113","98","2.3","1.5","3.9",".226",2025,"New York Liberty",2025,"$208,400 ","Protected Veteran",208400,"NYL","F","21","685","6.8","14.3",".475","0.6","3.0",".206","6.2","11.3",".546","5.5","6.7",".821","1.0","6.9","3.9","1.4","1.4","2.1","19.7",2025,155911.57061885,52488.4293811497,FALSE,FALSE,FALSE,NA,NA
"bree hall","GSV","G","2","8",0,".452",".500",".500","1.500","0.0","14.2","0.0","0.0","0.0","37.6","29.9","52","102","-0.1","0.0","-0.1","-0.330",2025,"Golden State Valkyries",2025,"$47,755 ","Unprotected",47755,"GSV","G","2","8","0.5","1.0",".500","0.0","0.5",".000","0.5","0.5","1.000","0.5","1.5",".333","0.0","1.0","0.0","0.0","0.0","1.0","1.5",2025,31826.1410387721,15928.8589612279,FALSE,FALSE,FALSE,NA,NA
"bria hartley","CON","G","22","503",10.5,".489",".429",".517",".290","1.3","5.3","25.0","2.0","0.0","16.4","21.7","94","117","-0.1","-0.3","-0.5","-0.036",2025,"Connecticut Suns",2025,"$78,831 ","Unprotected",78831,"CON","G","22","503","2.7","8.0",".341","1.4","4.1",".341","1.3","3.9",".341","2.0","2.3",".843","0.3","2.0","3.0","0.9","0.0","1.8","8.8",2025,100216.460312281,-21385.4603122805,TRUE,FALSE,FALSE,"Undervalued","Bria Hartley"
"brianna turner","IND","F-C","14","57",0,".230",".200",".000",".200","8.6","12.6","7.1","0.0","1.6","31.5","12.6","57","107","-0.2","0.1","-0.2","-0.123",2025,"Indiana Fever",2025,"$85,000 ","Unprotected",85000,"IND","F-C","14","57","0.1","0.7",".200","0.0","0.0","","0.1","0.7",".200","0.1","0.1",".500","0.3","0.9","0.2","0.0","0.1","0.4","0.4",2025,49026.1015746245,35973.8984253755,FALSE,FALSE,FALSE,NA,NA
"bridget carleton","MIN","F","24","704",10.3,".511",".497",".627",".087","3.6","7.1","13.1","1.8","0.9","11.4","11.4","109","101","0.8","1.2","2.0",".115",2025,"Minnesota Lynx",2025,"$125,000 ","Unprotected",125000,"MIN","F","24","704","2.5","6.3",".393","1.3","3.9",".330","1.2","2.3",".500","0.4","0.5",".769","0.9","3.6","2.7","1.0","0.3","0.8","6.6",2025,99397.414572478,25602.585427522,FALSE,FALSE,FALSE,NA,NA
"brionna jones","ATL","F","22","641",20.9,".575",".532",".136",".357","12.1","15.3","15.4","1.9","1.5","11.7","20.4","118","100","2.2","1.2","3.4",".211",2025,"Atlanta Dream",2025,"$214,466 ","Protected Veteran",214466,"ATL","F","22","641","5.2","10.0",".516","0.3","1.4",".233","4.9","8.7",".560","2.7","3.6",".747","3.0","7.8","2.5","1.0","0.5","1.5","13.4",2025,142806.83878201,71659.1612179897,FALSE,FALSE,FALSE,NA,NA
"brittney griner","ATL","C","20","467",14,".551",".512",".067",".319","4.7","14.2","6.2","0.2","4.7","16.6","21.5","97","100","0.1","0.9","1.0",".085",2025,"Atlanta Dream",2025,"$214,466 ","Protected Veteran",214466,"ATL","C","20","467","4.1","8.2",".503","0.2","0.6",".273","4.0","7.6",".520","1.9","2.6",".731","1.0","5.8","0.8","0.1","1.3","1.9","10.3",2025,114549.760758824,99916.2392411758,FALSE,FALSE,FALSE,NA,NA
"brittney sykes","WAS","G","19","606",15.4,".513",".416",".203",".586","2.0","6.7","26.2","1.6","1.0","15.5","27.7","100","104","0.5","0.8","1.3",".085",2025,"Washington Mystics",2025,"$195,000 ","Protected Veteran",195000,"WAS","G","19","606","5.1","13.2",".382","0.9","2.7",".333","4.2","10.5",".395","6.1","7.7",".782","0.5","3.6","4.4","1.0","0.3","3.1","17.1",2025,120283.080937442,74716.9190625583,FALSE,FALSE,FALSE,NA,NA
"caitlin clark","IND","G","13","404",17.2,".491",".441",".531",".255","0.3","9.6","47.9","2.7","1.6","23.2","31.7","94","100","-0.2","0.7","0.5",".054",2025,"Indiana Fever",2025,"$78,066 ","Unprotected",78066,"IND","G","13","404","5.5","15.1",".367","2.2","8.0",".279","3.3","7.1",".467","3.2","3.8",".820","0.1","5.0","8.8","1.6","0.5","5.1","16.5",2025,127654.492595664,-49588.4925956641,TRUE,FALSE,FALSE,"Undervalued","Caitlin Clark"
"carla leite","GSV","G","16","259",9.6,".471",".392",".392",".340","2.2","4.4","22.4","2.0","0.8","18.3","23.7","91","104","-0.2","0.3","0.1",".016",2025,"Golden State Valkyries",2025,"$72,455 ","Unprotected",72455,"GSV","G","16","259","2.3","6.1",".371","0.3","2.4",".105","2.0","3.7",".542","1.8","2.1",".879","0.3","1.3","1.9","0.6","0.1","1.6","6.6",2025,96530.7544831693,-24075.7544831693,TRUE,FALSE,FALSE,"Undervalued","Carla Leite"
"cecilia zandalasini","GSV","F","8","164",13.9,".581",".534",".621",".224","1.4","5.5","11.6","1.9","1.3","12.4","19.9","108","103","0.3","0.2","0.5",".125",2025,"Golden State Valkyries",2025,"$100,000 ","Temporary Suspension",1e+05,"GSV","F","8","164","3.0","7.3",".414","1.8","4.5",".389","1.3","2.8",".455","1.5","1.6",".923","0.3","2.0","1.3","0.8","0.3","1.1","9.3",2025,114140.237888923,-14140.2378889229,TRUE,FALSE,FALSE,"Undervalued","Cecilia Zandalasini"
"chelsea gray","LVA","G","22","668",15,".576",".520",".459",".288","2.6","8.0","26.4","2.2","1.8","24.3","20.6","100","106","0.4","0.7","1.1",".067",2025,"Las Vegas Aces",2025,"$196,267 ","Protected Veteran",196267,"LVA","G","22","668","4.0","9.3",".434","1.6","4.3",".372","2.5","5.0",".486","2.4","2.7",".898","0.7","4.1","4.5","1.3","0.6","3.4","12.1",2025,118644.989457837,77622.0105421633,FALSE,FALSE,FALSE,NA,NA
"chloe bibby","GSV","F","5","66",19.7,".574",".556",".704",".074","5.1","12.0","9.0","2.4","0.0","0.0","19.0","124","100","0.2","0.1","0.4",".219",2025,"Golden State Valkyries",2025,"$49,420 ","Unprotected",49420,"GSV","F","5","66","2.2","5.4",".407","1.6","3.8",".421","0.6","1.6",".375","0.4","0.4","1.000","0.6","2.8","0.6","0.6","0.0","0.0","6.4",2025,137892.564343195,-88472.5643431953,TRUE,FALSE,FALSE,"Undervalued","Chloe Bibby"
"courtney vandersloot","CHI","G","7","191",15.7,".516",".477",".348",".197","1.2","6.5","34.6","2.9","1.0","19.2","20.4","102","109","0.2","0.1","0.3",".056",2025,"Chicago Sky",2025,"$185,000 ","Unprotected",185000,"CHI","G","7","191","4.1","9.4",".439","0.7","3.3",".217","3.4","6.1",".558","1.6","1.9",".846","0.3","3.1","5.3","1.6","0.3","2.4","10.6",2025,121511.649547145,63488.3504528546,FALSE,FALSE,FALSE,NA,NA
"courtney williams","MIN","G","24","684",19.3,".501",".481",".295",".099","2.4","10.7","36.5","2.9","0.9","14.7","26.4","102","96","0.9","1.7","2.6",".152",2025,"Minnesota Lynx",2025,"$180,000 ","Protected Veteran",180000,"MIN","G","24","684","5.7","13.4",".425","1.5","4.0",".379","4.2","9.5",".445","1.1","1.3",".844","0.6","5.3","6.0","1.6","0.3","2.4","14.0",2025,136254.47286359,43745.5271364097,FALSE,FALSE,FALSE,NA,NA
"crystal bradford","LVA","F","4","24",7.2,".333",".333",".333",".000","9.7","12.2","6.9","4.3","0.0","14.3","13.2","79","102","0.0","0.0","0.0","-0.003",2025,"Las Vegas Aces",2025,"$16,103 ","Waived",16103,"LVA","F","4","24","0.5","1.5",".333","0.0","0.5",".000","0.5","1.0",".500","0.0","0.0","","0.5","1.3","0.3","0.5","0.0","0.3","1.0",2025,86702.2056055393,-70599.2056055393,TRUE,FALSE,FALSE,"Undervalued","Crystal Bradford"
"damiris dantas","IND","C-F","18","235",9.7,".486",".429",".541",".259","7.3","11.9","6.6","1.1","1.2","12.9","20.8","97","104","0.1","0.3","0.3",".059",2025,"Indiana Fever",2025,"$100,000 ","Temporary Suspension",1e+05,"IND","C-F","18","235","1.7","4.7",".353","0.7","2.6",".283","0.9","2.2",".436","1.1","1.2",".864","0.8","2.6","0.6","0.3","0.2","0.8","5.1",2025,96940.2773530705,3059.72264692947,FALSE,FALSE,FALSE,NA,NA
"dana evans","LVA","G","22","379",10.6,".473",".434",".365",".219","1.2","2.9","19.0","1.5","0.7","10.7","20.1","97","110","0.1","0.1","0.2",".021",2025,"Las Vegas Aces",2025,"$89,000 ","Protected Veteran",89000,"LVA","G","22","379","2.3","6.2",".372","0.8","2.3",".340","1.5","4.0",".391","1.0","1.4",".767","0.2","0.9","1.8","0.5","0.1","0.8","6.5",2025,100625.983182182,-11625.9831821818,TRUE,FALSE,FALSE,"Undervalued","Dana Evans"
"dewanna bonner","PHO","G-F","12","272",15.8,".552",".488",".420",".370","2.6","11.3","11.5","2.4","0.3","9.6","17.2","112","101","0.5","0.5","1.0",".150",2025,"Indiana Fever",2025,"$72,269 ","Waived",72269,"PHO","G-F","12","272","2.8","6.8",".407","1.1","2.8",".382","1.7","3.9",".426","2.1","2.5",".833","0.5","4.3","1.7","1.1","0.1","0.8","8.7",2025,121921.172417047,-49652.1724170467,TRUE,FALSE,FALSE,"Undervalued","Dewanna Bonner"
"dearica hamby","LAS","F","22","708",22.5,".579",".555",".121",".456","10.3","14.3","22.4","3.0","1.6","15.7","24.7","111","107","2.0","0.6","2.5",".143",2025,"Los Angeles Sparks",2025,"$202,000 ","Protected Veteran",202000,"LAS","F","22","708","6.6","12.4",".537","0.5","1.5",".303","6.2","10.9",".569","3.5","5.6",".613","2.7","7.5","3.7","1.9","0.5","2.8","17.2",2025,149359.20470043,52640.7952995697,FALSE,FALSE,FALSE,NA,NA
"dijonai carrington","DAL","G-F","14","376",12,".458",".397",".281",".288","9.9","11.1","13.2","2.6","1.5","17.8","25.0","91","110","-0.3","0.1","-0.2","-0.020",2025,"Dallas Wings",2025,"$200,000 ","Protected Veteran",2e+05,"DAL","G-F","14","376","4.1","11.4",".356","0.9","3.2",".289","3.1","8.2",".383","2.7","3.3",".826","2.4","5.2","2.1","1.4","0.4","2.8","11.8",2025,106359.303360799,93640.6966392008,FALSE,FALSE,FALSE,NA,NA
"diamond miller","MIN","F","21","197",11.4,".635",".575",".434",".396","1.8","5.3","11.6","1.9","1.9","21.5","18.4","105","101","0.2","0.4","0.6",".118",2025,"Minnesota Lynx",2025,"$83,371 ","Unprotected",83371,"MIN","F","21","197","1.1","2.5",".453","0.6","1.1",".565","0.5","1.4",".367","0.9","1.0",".857","0.1","0.9","0.7","0.3","0.2","0.8","3.8",2025,103902.166141392,-20531.1661413917,TRUE,FALSE,FALSE,"Undervalued","Diamond Miller"
"dominique malonga","SEA","C","22","193",14,".518",".500",".081",".151","9.2","19.0","14.5","1.1","1.4","20.0","27.3","90","100","-0.2","0.4","0.1",".025",2025,"Seattle Storm",2025,"$78,831 ","Unprotected",78831,"SEA","C","22","193","2.0","3.9",".500","0.0","0.3",".000","2.0","3.6",".544","0.4","0.6",".692","0.7","2.8","0.7","0.2","0.1","1.0","4.3",2025,114549.760758824,-35718.7607588242,TRUE,FALSE,FALSE,"Undervalued","Dominique Malonga"
"elizabeth kitley","LVA","C","12","98",1.1,".314",".304",".043",".087","4.7","10.2","1.7","2.1","5.2","22.7","14.2","58","102","-0.4","0.1","-0.2","-0.100",2025,"Las Vegas Aces",2025,"$69,267 ","Unprotected",69267,"LVA","C","12","98","0.6","1.9",".304","0.0","0.1",".000","0.6","1.8",".318","0.1","0.2",".500","0.3","1.4","0.1","0.3","0.5","0.6","1.3",2025,61721.3105415632,7545.6894584368,FALSE,FALSE,FALSE,NA,NA
"elizabeth williams","CHI","C-F","22","433",15.8,".489",".472",".000",".302","8.2","11.5","15.4","1.8","3.8","12.2","20.8","100","109","0.3","0.2","0.5",".047",2025,"Chicago Sky",2025,"$100,000 ","Unprotected",1e+05,"CHI","C-F","22","433","3.4","7.2",".472","0.0","0.0","","3.4","7.2",".472","1.2","2.2",".542","1.4","4.0","1.6","0.7","0.8","1.1","8.0",2025,121921.172417047,-21921.1724170467,TRUE,FALSE,FALSE,"Undervalued","Elizabeth Williams"
"emily engstler","WAS","F","19","188",13.5,".475",".450",".500",".300","12.0","18.5","19.4","2.2","4.7","26.1","14.6","94","97","0.0","0.4","0.4",".087",2025,"Washington Mystics",2025,"$66,079 ","Unprotected",66079,"WAS","F","19","188","0.8","2.1",".400","0.2","1.1",".200","0.6","1.1",".600","0.4","0.6",".583","1.0","3.1","1.2","0.4","0.5","0.8","2.3",2025,112502.146409318,-46423.146409318,TRUE,FALSE,FALSE,"Undervalued","Emily Engstler"
"emma cannon","LAS","F","19","200",14.9,".659",".644",".559",".356","6.2","10.7","6.2","2.3","0.5","16.0","18.3","112","110","0.4","0.1","0.5",".100",2025,"Los Angeles Sparks",2025,"$78,831 ","Unprotected",78831,"LAS","F","19","200","1.6","3.1",".525","0.7","1.7",".424","0.9","1.4",".654","0.7","1.1",".667","0.5","1.8","0.4","0.5","0.1","0.7","4.7",2025,118235.466587935,-39404.4665879354,TRUE,FALSE,FALSE,"Undervalued","Emma Cannon"
"erica wheeler","SEA","G","23","625",14.7,".531",".502",".441",".150","2.3","6.9","21.8","2.1","0.7","13.9","20.6","102","103","0.6","0.9","1.5",".096",2025,"Seattle Storm",2025,"$78,831 ","Unprotected",78831,"SEA","G","23","625","4.1","9.9",".419","1.7","4.3",".380","2.5","5.5",".449","1.3","1.5",".853","0.5","3.1","3.6","1.1","0.2","1.7","11.2",2025,117416.420848133,-38585.4208481329,TRUE,FALSE,FALSE,"Undervalued","Erica Wheeler"
"ezi magbegor","SEA","F-C","23","642",16.6,".526",".503",".146",".299","9.4","13.8","12.7","1.4","6.7","10.1","14.1","113","99","1.3","1.3","2.5",".157",2025,"Seattle Storm",2025,"$186,000 ","Protected Veteran",186000,"SEA","F-C","23","642","3.3","6.8",".490","0.2","1.0",".174","3.2","5.8",".545","1.3","2.0",".617","2.2","6.4","2.3","0.7","2.0","0.9","8.1",2025,125197.355376257,60802.6446237433,FALSE,FALSE,FALSE,NA,NA
"gabby williams","SEA","F","23","775",17.5,".536",".509",".395",".150","2.4","8.5","21.5","3.7","1.3","14.7","19.7","103","98","0.8","1.6","2.4",".125",2025,"Seattle Storm",2025,"$225,000 ","Protected Veteran",225000,"SEA","F","23","775","5.1","11.6",".444","1.5","4.6",".333","3.6","7.0",".516","1.4","1.7",".825","0.7","4.8","4.4","2.4","0.5","2.1","13.2",2025,128883.061205368,96116.9387946321,FALSE,FALSE,TRUE,"Top Paid","Gabby Williams"
"grace berger","LAS","G","1","16",0,".000",".000",".500",".000","7.7","3.8","8.6","0.0","0.0","42.9","19.7","19","120","-0.2","0.0","-0.2","-0.522",2025,"Los Angeles Sparks",2025,"$1,666 ","Complete Hardship Contract",1666,"LAS","G","1","16","0.0","4.0",".000","0.0","2.0",".000","0.0","2.0",".000","0.0","0.0","","1.0","1.0","1.0","0.0","0.0","3.0","0.0",2025,-12811.8517804639,14477.8517804639,FALSE,FALSE,FALSE,NA,NA
"hailey lith","CHI","G","19","239",6.2,".440",".378",".284",".311","1.9","5.5","17.3","1.5","1.6","23.6","20.2","81","113","-0.5","0.0","-0.6","-0.093",2025,"Chicago Sky",2025,"$72,455 ","Unprotected",72455,"CHI","G","19","239","1.4","3.9",".351","0.2","1.1",".190","1.2","2.8",".415","0.9","1.2",".783","0.2","1.2","1.3","0.4","0.2","1.4","3.9",2025,82606.9769065268,-10151.9769065268,TRUE,FALSE,FALSE,"Undervalued","Hailey Lith"
"haley jones","DAL","F-G","9","122",12.7,".502",".500",".108",".054","3.6","10.3","15.5","2.1","2.3","11.7","15.3","102","106","0.1","0.1","0.2",".069",2025,"Dallas Wings",2025,"$36,233 ","Active Hardship Contract",36233,"DAL","F-G","9","122","2.0","4.1",".486","0.1","0.4",".250","1.9","3.7",".515","0.1","0.2",".500","0.4","2.4","1.2","0.6","0.3","0.6","4.2",2025,109225.963450108,-72992.963450108,TRUE,FALSE,FALSE,"Undervalued","Haley Jones"
"haley peters","CON","F-G","20","281",6.1,".414",".379",".397",".190","6.8","10.7","11.6","1.7","1.0","20.3","12.9","85","115","-0.3","-0.1","-0.4","-0.063",2025,"Connecticut Suns",2025,"$78,831 ","Unprotected",78831,"CON","F-G","20","281","1.0","2.9",".345","0.2","1.2",".174","0.8","1.8",".457","0.4","0.6",".727","0.9","2.6","1.0","0.5","0.2","0.8","2.6",2025,82197.4540366256,-3366.4540366256,FALSE,FALSE,FALSE,NA,NA
"isabelle harrison","NYL","F","19","184",16.1,".525",".500",".129",".242","9.7","16.2","12.9","3.0","0.5","13.8","19.6","104","97","0.2","0.4","0.7",".146",2025,"New York Liberty",2025,"$78,831 ","Unprotected",78831,"NYL","F","19","184","1.6","3.3",".484","0.1","0.4",".250","1.5","2.8",".519","0.5","0.8",".667","0.8","2.8","0.7","0.6","0.1","0.6","3.8",2025,123149.74102675,-44318.7410267504,TRUE,FALSE,FALSE,"Undervalued","Isabelle Harrison"
"jj quinerly","DAL","G","21","295",17.5,".552",".500",".269",".269","3.7","6.2","28.0","2.9","1.3","15.8","23.0","108","110","0.6","0.1","0.8",".102",2025,"Dallas Wings",2025,"$66,079 ","Unprotected",66079,"DAL","G","21","295","2.5","5.7",".445","0.6","1.5",".406","1.9","4.1",".460","1.3","1.5",".875","0.5","1.5","2.2","0.8","0.2","1.2","7.0",2025,128883.061205368,-62804.0612053679,TRUE,FALSE,FALSE,"Undervalued","Jj Quinerly"
"jackie young","LVA","G","22","658",19.9,".561",".493",".380",".331","4.8","8.1","26.5","1.9","1.2","14.8","26.5","108","107","1.6","0.5","2.2",".131",2025,"Las Vegas Aces",2025,"$169,950 ","Protected Veteran",169950,"LVA","G","22","658","5.7","13.0",".436","1.5","5.0",".303","4.2","8.1",".517","3.9","4.3",".905","1.2","4.1","4.0","1.1","0.4","2.6","16.8",2025,138711.610082998,31238.3899170022,FALSE,FALSE,FALSE,NA,NA
