X,player,weighted_mp,weighted_ws,weighted_per,team.x,contract_y,per_minute_score,rank_within_team,protected,team.y,pos,actual,xgb_pred,residual
54,monique billings,1854,3,13.73333333,GSV,0,0.057058889,5,1,GSV,F,"$110,000 ","$123,486 ","$13,486.01 "
27,marina mabrey,1854,3.166666667,14.7,CON,0,0.492294113,2,1,CON,G,"$210,000 ","$221,029 ","$11,029.25 "
14,ariel atkins,1690.75,3.925,16.1125,CHI,0,0.543801496,1,1,CHI,G,"$200,000 ","$210,182 ","$10,182.48 "
66,sophie cunningham,1444.25,3.45,11.675,IND,0,0.214293164,5,1,IND,G,"$100,000 ","$108,692 ","$8,692.05 "
149,aaliyah edwards,419.6666667,0.866666667,14.46666667,WAS,2,0.160144072,3,1,WAS,F,"$74,909 ","$83,019 ","$8,110.06 "
63,natasha howard,1478,3.525,18.225,IND,0,0.363920993,2,1,IND,F,"$214,466 ","$221,901 ","$7,435.47 "
110,breanna stewart,902.4,5.74,24.7,NYL,0,0.623916648,1,1,NYL,F,"$208,400 ","$214,971 ","$6,570.55 "
150,lucy olsen,199,0.6,12,WAS,3,0.127448997,4,1,WAS,G,"$69,267 ","$75,604 ","$6,337.41 "
112,leonie fiebich,509.6666667,1.9,13.3,NYL,2,0.332013081,3,1,NYL,F,"$68,595 ","$74,884 ","$6,289.23 "
50,tiffany hayes,2164,8.7,16.8,GSV,0,0.807762936,1,1,GSV,G,"$200,000 ","$206,070 ","$6,070.12 "
100,courtney williams,1993.666667,4.966666667,16.71666667,MIN,0,0.190765848,4,1,MIN,G,"$180,000 ","$185,567 ","$5,566.64 "
17,courtney vandersloot,1006,2.85,14.8375,CHI,0,0.281944313,4,1,CHI,G,"$185,000 ","$189,622 ","$4,621.88 "
15,angel reese,812,1.833333333,18.46666667,CHI,2,0.454681898,2,1,CHI,F,"$74,909 ","$76,939 ","$2,029.62 "
28,aneesah morrow,291,0,15.3,CON,3,0.239377215,3,1,CON,F,"$75,643 ","$77,394 ","$1,751.12 "
87,a'ja wilson,825.4,6.35,32.84,LVA,0,0.793840725,1,1,LVA,C,"$200,000 ","$201,325 ","$1,325.20 "
111,natasha cloud,3006,6.3,14.66666667,NYL,0,0.499233101,2,1,NYL,G,"$200,000 ","$200,993 ",$993.00 
125,dewanna bonner,1501,6.025,16.9875,PHO,0,0.328268306,3,1,PHO,G-F,"$72,269 ","$72,889 ",$619.52 
136,ezi magbegor,836.3,3.44,17.82,SEA,0,0.157605453,3,1,SEA,F-C,"$186,000 ","$186,462 ",$461.59 
16,kamilla cardoso,562,1.666666667,19.43333333,CHI,2,0.439310554,3,1,CHI,C,"$78,066 ","$78,214 ",$148.44 
30,saniya rivers,551,-0.4,12.4,CON,3,0.079262235,5,1,CON,G,"$75,643 ","$75,604 ",($38.59)
64,caitlin clark,741.3333333,1.4,17.66666667,IND,2,0.314900141,3,1,IND,G,"$78,066 ","$78,008 ",($58.02)
18,rebecca allen,1719,2.4,11.13333333,CHI,0,0.103638652,5,1,CHI,F-G,"$160,000 ","$159,570 ",($429.72)
2,te paopao,240,0.8,15.1,ATL,3,0.295562455,2,1,ATL,G,"$69,267 ","$68,728 ",($539.38)
52,carla leite,243,0.1,9.6,GSV,3,0.175272768,3,1,GSV,G,"$72,455 ","$71,777 ",($677.63)
29,leila lacan,130,-0.1,10.5,CON,3,0.094593577,4,1,CON,G,"$72,455 ","$71,251 ","($1,204.11)"
147,sonia citron,737,2.3,14.8,WAS,3,0.86435749,1,1,WAS,G,"$78,831 ","$77,394 ","($1,436.88)"
90,aaliyah nye,374,0.3,7.3,LVA,3,0.174085268,4,1,LVA,G-F,"$69,267 ","$67,234 ","($2,032.76)"
134,nneka ogwumike,1970,9.533333333,23.51666667,SEA,0,0.90588081,1,1,SEA,F,"$195,000 ","$192,938 ","($2,062.05)"
75,kelsey plum,2032.5,5.9,17.3875,LAS,0,0.7302106,1,1,LAS,G,"$202,000 ","$199,576 ","($2,423.73)"
148,kiki iriafen,588,1.7,15.8,WAS,3,0.66166311,2,1,WAS,F,"$78,831 ","$76,311 ","($2,519.80)"
51,veronica burton,1554,6.1,14.4,GSV,0,0.425596846,2,1,GSV,G,"$78,831 ","$76,289 ","($2,541.52)"
76,dearica hamby,927.6,2.68,20.48,LAS,0,0.259587628,2,1,LAS,F,"$202,000 ","$199,221 ","($2,779.34)"
41,jj quinerly,265,0.6,16.3,DAL,3,0.147079504,4,1,DAL,G,"$66,079 ","$63,206 ","($2,873.09)"
40,myisha allen,1839,3.1,12.96666667,DAL,0,0.291676126,3,1,DAL,F,"$203,000 ","$199,722 ","($3,278.42)"
97,napheesa collier,882.5,5.92,28.2,MIN,0,0.50868822,1,1,MIN,F,"$214,284 ","$210,278 ","($4,005.72)"
1,brionna jones,1539.25,8.175,21.0625,ATL,0,0.773231578,1,1,ATL,F,"$214,466 ","$209,822 ","($4,644.34)"
77,azura stevens,622.3,2.01,19.59,LAS,0,0.141934756,3,1,LAS,F-C,"$195,000 ","$190,315 ","($4,685.36)"
