"","...1","player","weighted_mp","weighted_ws","weighted_per","team.x","contract_y","age","per_minute_score","rank_within_team","protected","pos","actual","xgb_pred","residual","ufa","suspended"
"96",96,"kiah stokes",531,0.99,7.47,"LVA",0,32,-0.714523347957175,10,0,"C","$103,000","$86,292","-$16,708.09","1",0
"97",97,"napheesa collier",882.5,5.92,28.2,"MIN",0,28,0.801551748285766,1,1,"F","$214,284","$210,278","-$4,005.72","1",0
"98",98,"anastasiia kosu",24,0.1,19.8,"MIN",3,20,0.652958195935512,2,1,NA,NA,NA,NA,"0",0
"99",99,"alanna smith",1744.66666666667,6.66666666666667,17.5333333333333,"MIN",0,28,0.327329045658432,3,1,"F","$150,000","$144,183","-$5,817.44","1",0
"100",100,"maria kliundikova",118,0.7,23.3,"MIN",0,26,0.217729993251383,4,1,"F","$54,418","$52,363","-$2,054.62","0",0
"101",101,"dorka juhasz",640,1.95,13.675,"MIN",1,25,0.00237072056642282,5,1,NA,NA,NA,NA,"0",1
"102",102,"courtney williams",1993.66666666667,4.96666666666667,16.7166666666667,"MIN",0,31,-0.0390053189322943,6,0,"G","$180,000","$185,567","$5,566.64","1",0
"103",103,"jessica shepard",389.285714285714,1.7,18.3714285714286,"MIN",0,28,-0.0624771657177577,7,0,"F","$78,831","$77,227","-$1,603.64","1",0
"104",104,"karlie samuelson",1827,5.3,10.6,"MIN",0,30,-0.260151621935392,8,0,"G","$118,450","$90,596","-$27,854.18","1",0
"105",105,"diamond miller",258.3,0.29,9.54,"MIN",1,24,-0.292052211400263,9,0,"F","$83,371","$72,595","-$10,776.12","0",0
"106",106,"natisha hiedeman",1549.66666666667,2.9,11.5333333333333,"MIN",0,28,-0.303721419915664,10,0,"G","$135,000","$120,712","-$14,288.45","1",0
"107",107,"alissa pili",100.666666666667,0.0333333333333333,7.13333333333333,"MIN",2,24,-0.332673478836375,11,0,"F","$74,909","$70,334","-$4,574.88","0",0
"108",108,"bridget carleton",812.7,2.6,11.06,"MIN",0,28,-0.353752442092285,12,0,"F","$125,000","$118,095","-$6,905.33","1",0
"109",109,"kayla mcbride",852.5,3.16,15.85,"MIN",0,33,-0.358106044867485,13,0,"G","$205,000","$199,756","-$5,243.61","1",0
"110",110,"breanna stewart",902.4,5.74,24.7,"NYL",0,30,0.791156652401217,1,1,"F","$208,400","$214,971","$6,570.55","1",0
